Gus,Ashley,Ryan,Burnie,Meg,Gavin,Ray,Jack,Michael,Joel,Adam E,Geoff,Kerry,Lindsay,Miles,MatPat,Spoole,Lawrence,Joel,Bruce,Mica,LeVar Burton,Jeff Gerstmann,Jeremy
,1,1,,,,,,,,,,,,,,,1,,,,,,
,1,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
,,1,,1,,,,,,,,,,,,,,,,,,,1
,1,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,1,,,,,,,,,,,,,,,,,,,
,1,1,,1,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
,,1,,,,,,1,,,1,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,
,1,,1,,,,,,,,,,,,,,,,1,1,1,1,
1,1,,,1,,,,,,,,,,,1,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,,1,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
,1,1,,1,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
,1,1,,1,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
,1,1,,1,,,,,,,,,,,,,,,,,,,
,,1,,,,,,1,,,1,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
,1,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
,1,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,1,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
,1,1,,1,,,,,,,,,,,,,,,,,,,
,,1,,,,,1,,,,1,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,,1,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,,,,,,
,,1,1,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,,,,,,
,1,,1,1,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
1,1,,1,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,1,,1,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
,1,1,,,,,1,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
1,1,,,,,1,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,,,,,,
1,1,,1,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,1,,,,,,,,,,,,,
1,,1,,,,,,,,1,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,1,,,,,,,,,,,,,
1,,,,,,,,,,,,1,1,,,,,,,,,,
1,,1,,,,,1,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,1,,,,,,,,,,,
1,,,,,1,1,,,,,,,,,,,,,,,,,
,,1,1,,1,,,,,,,,,,,,,,,,,,
,,,1,,,,1,1,,,,,,,,,,,,,,,
